Address,Status,Price,Bed,Bath,Sqft
"4737 E Avenue R12, Palmdale, CA 93552",Pending,240000,4,2,"1,358"
"2404 Barnett St, Bakersfield, CA 93308",For Sale,240000,3,1,"8,276"
"708 Caliente Dr, Barstow, CA 92311",For Sale,240000,3,1,896
"35650 Douglas Fir Ct, Shingletown, CA 96088",For Sale,240000,2,1,"1,064"
"1917 Maple Ave, Bakersfield, CA 93304",For Sale,240000,3,2,"1,318"
"21618 Cassel Rd, Cassel, CA 96016",For Sale,240000,2,2,"1,371"
"616 Willow St, Susanville, CA 96130",For Sale,241500,3,2,"1,526"
"1513 Solana Ct, Barstow, CA 92311",Pending,242000,2,2,"1,071"
"729 Normandy Dr, Bakersfield, CA 93306",For Sale,242900,3,1,916
"464 E Magnolia, Brawley, CA 92227",For Sale,243000,2,1,816
"411 Douglas St, Bakersfield, CA 93308",For Sale,244900,3,2,"1,221"
"1185 Royal St, Arvin, CA 93203",For Sale,244900,3,2,"1,050"
"2501 Blackstone Ct, Bakersfield, CA 93304",Foreclosure,245000,3,2,"7,840"
"1626 W University Ave, Fresno, CA 93705",For Sale,245000,3,1,"1,201"
"2024 E Buckingham Way, Fresno, CA 93726",For Sale,245000,2,1,828
"1378 Spruce St S, Tulare, CA 93274",For Sale,245000,3,2,"1,205"
"1029 N Green St, Hanford, CA 93230",For Sale,245000,3,1,858
"600 Isabell Rd, Bakersfield, CA 93306",Contingent,245000,4,2,"8,712"
"360 Sandy Gulch Rd, Wilseyville, CA 95257",For Sale,245000,2,1,"1,100"
"1509 Wilson Rd, Bakersfield, CA 93304",Contingent,245000,3,2,"1,124"
"25008 Camino Del Norte, Barstow, CA 92311",Pending,245000,3,2,"1,338"
"318 Coates Ave, Calpine, CA 96124",For Sale,245000,2,1,742
"318 Coates Ave Unit 1, Calpine, CA 96124",For Sale,245000,2,1,742
"505 Oakwood Rd, California Hot Springs, CA 93207",For Sale,245900,2,2,"1,900"
"1218 Austin St, Madera, CA 93638",Pending,248000,3,1,912
"2668 Oro Garden Ranch Rd, Oroville, CA 95966",For Sale,249000,2,1,807
"21909 St John Pl, Cottonwood, CA 96022",For Sale,249000,3,2,"1,500"
"1984 Gray St, Oroville, CA 95965",For Sale,249000,2,1,"1,072"
"727 Josephine Ave, Corcoran, CA 93212",For Sale,249000,3,2,"1,640"
"70110 Brants Crossing Rd, Twentynine Palms, CA 92277",For Sale,249000,2,2,"1,656"
"2820 Polar Way, Pine Mountain Club, CA 93225",For Sale,249000,2,1,750
"13805 Julian Dr, Desert Hot Springs, CA 92240",For Sale,249000,3,2,"1,394"
"120 Franklin Ave, Willits, CA 95490",For Sale,249000,3,5,"1,300"
"117 El Dorado Dr, Madera, CA 93637",For Sale,249000,3,2,"1,259"
"8123 Palm Ln, San Bernardino, CA 92410",For Sale,249888,1,1,308
"21 Brooktree Way, Weaverville, CA 96093",For Sale,249900,2,1,843
"23951 Greely St, Covelo, CA 95428",For Sale,249900,2,2,"1,440"
"5310 Abronia Ave, Twentynine Palms, CA 92277",For Sale,249900,3,2,"1,297"
"15916 Zurich Way, Pine Mountain Club, CA 93222",For Sale,249900,f,1,715
